Categoría;Subcategoría;Supracategoria;Producto;Descripción;Stock ;Precio ;Modo de uso;Ingredientes;Propiedades;Beneficios;Item 1;Item 2;Item 3;Item 4;Item 5;Item 6
Cuidado facial;Limpiadores faciales;Jabones;Jabón de rosas y argán;Barra de jabón a base de glicerina  sólida blanca con registro sanitario y pH neutro .                            ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Aceite Esencial de Rosas;Contribuye a equilibrar los niveles de hidratación en la piel. Tiene propiedades antiinflamatorias, antibacterianas, y antioxidantes. Provee una acción tonificante. Además, ayuda a regenerar la piel, lo que puede atenuar la apariencia de cicatrices y líneas finas con el uso constante.;Antiinflamatorio, antioxidante y antibacteriano.;Regenera;Antiinflamatorio;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite de Argán;Hidrata y nutre la piel en profundidad con ácidos grasos esenciales (omega 6 y omega 9). Previene la sequedad y la descamación, dejando la piel suave y flexible. Además, ayuda a fortalecer la barrera natural de la piel contra las agresiones externas.;Ayuda a rellenar líneas finas y atenuar las cicatrices pequeñas con el uso constante.;Líneas finas;Antibacteriano;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Extracto de Rosas;Aporta vitaminas y minerales que nutren la piel. Protege el rostro del daño oxidativo. Ayuda a equilibrar el pH de la piel.;;;Antioxidante;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Glicerina sólida;Hidratante, emoliente y dermocompatible;;;;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Vitamina E;Antioxidante liposoluble y conservante natural ;;;;;;;
Cuidado facial;Limpiadores faciales;Jabones;Jabón de colágeno;Barra de jabón de glicerina sólida blanca con registro sanitario y pH neutro.                      ;16;18,00 PEN;1. Humedece tus manos con agua tibia y frotalas con el jabón de glicerina hasta crear espuma.                                                                                                            ;Aceite Esencial de Ylang Ylang;Equilibra la producción de sebo en el cutis. Es antiséptico y fomenta la cicatrización natural. Tiene un efecto antiinflamatorio. Provee una acción tonificante.;Antiinflamatorio y nutritivo. Regenera el tejido conectivo.;Regenera;;;;;
;;;;Contenido: 100 gr;;;  2. Masajea suavemente tu cutis con movimientos circularesdurante 15 a 20 segundos.;Aceite de Chía;Fuente de antioxidantes como la vitamina E, y polifenoles, además de ácidos grasos, vitamina B3 y zinc. Tiene propiedades antiinflamatorias.                    Fortalece la barrera lipídica de la piel. Protege la piel de los radicales libres. Ayuda a equilibrar la producción de sebo en pieles grasas.;Es fuente de vitaminas (E y B3), polifenoles, ácidos grasos, y zinc. Equilibra el sebo natural. ;;;;;;
;;;;Producto peruano;;; 3. Retira todos los residuos de la espuma con agua tibia. ;Colágeno Hidrolizado pulverizado;Hidrata y humecta la piel. Estimula la regeneración del tejido conectivo, y ayuda a reparar la piel. Contribuye una mejor apariencia de la piel, ayudando a rellenar las líneas finas.;;Líneas finas;Antioxidante;;;;
;;;;;;; 4. Seca suavemente con una toalla de algodón.;Manteca de Karité;Previene la deshidratación y protege de las agresiones externas como el clima frío o el viento, además de potenciar los activos de otras sustancias. Sus propiedades antiinflamatorias ayudan a calmar la piel irritada. Favorece la regeneración de los tejidos celulares.;;;Antiinflamatorio;;;;
;;;;;;;5. Continua con tu rutina de skincare incluida una crema hidratante para potenciar los activos del jabón.;Glicerina sólida;Hidratante, emoliente y dermocompatible.;;;;;;;
